Data;Abertura;Fechamento
07/01/2016;14.13;14.28
07/04/2016;14.4;14.08
07/05/2016;13.93;13.85
07/06/2016;13.9;13.57
07/07/2016;13.7;13.56
07/08/2016;13.63;14.12
07/11/2016;14.25;14.12
07/12/2016;14.12;14.63
07/13/2016;14.52;15.03
07/14/2016;15.2;15.45
07/15/2016;15.05;15.64
07/16/2016;0;0
07/18/2016;15.3;15.8
07/19/2016;15.55;15.74
07/20/2016;15.68;14.95
07/21/2016;15;14.88
07/22/2016;14.9;15.08
07/23/2016;0;0
07/25/2016;15.1;14.81
07/26/2016;14.82;14.55
07/27/2016;14.65;14.27
07/28/2016;14.14;14.67
07/29/2016;14.67;14.44
08/01/2016;14.5;14.77
08/02/2016;14.57;14.57
08/03/2016;14.63;14.45
08/04/2016;14.53;14.31
08/05/2016;14.44;14.42
08/08/2016;14.4;14.76
08/09/2016;14.9;14.88
08/10/2016;14.97;15.15
08/11/2016;14.9;15.28
08/12/2016;15.35;14.85
08/15/2016;14.8;14.78
08/16/2016;14.55;14.45
08/17/2016;14.31;14.52
08/18/2016;14.6;14.32
08/19/2016;14.33;14.26
08/22/2016;14.28;14.13
08/23/2016;14.13;14.04
08/24/2016;13.9;14
08/25/2016;14;13.9
08/26/2016;13.97;14.03
08/29/2016;14.08;14.38
08/30/2016;14.46;13.85
08/31/2016;13.9;13.8
09/01/2016;13.89;14.03
09/02/2016;14.2;13.89
09/05/2016;13.81;13.97
09/06/2016;14.05;14.54
09/07/2016;0;0
09/08/2016;14.56;15.34
09/09/2016;15.1;15
09/12/2016;14.8;15.2
09/13/2016;14.94;14.85
09/14/2016;14.7;14.64
09/15/2016;14.7;15.02
09/16/2016;15;15.2
09/17/2016;0;0
09/19/2016;15.25;15.1
09/20/2016;15.27;15.1
09/21/2016;15.15;15.25
09/22/2016;15.4;15.62
09/23/2016;15.73;14.86
09/26/2016;14.78;15.03
09/27/2016;15.01;15.28
09/28/2016;15.3;15.46
09/29/2016;15.33;15.06
09/30/2016;15.13;14.79
10/01/2016;0;0
10/03/2016;14.79;15.19
10/04/2016;15.04;15.28
10/05/2016;15.29;15.65
10/06/2016;15.65;15.87
10/07/2016;15.87;15.7
10/10/2016;15.9;16
10/11/2016;16;15.95
10/13/2016;15.89;15.55
10/14/2016;15.69;15.78
10/15/2016;0;0
10/17/2016;15.72;15.9
10/18/2016;15.91;16.58
10/19/2016;16.82;16.9
10/20/2016;16.85;16.5
10/21/2016;16.4;16.55
10/22/2016;0;0
10/24/2016;16.59;16.16
10/25/2016;16.25;15.83
10/26/2016;16;15.73
10/27/2016;15.82;15.7
10/28/2016;15.73;15.58
10/29/2016;0;0
10/31/2016;15.58;15.9
11/01/2016;16.01;15.51
11/03/2016;15.34;15.04
11/04/2016;15.2;14.81
11/07/2016;15.1;15.5
11/08/2016;15.5;15.83
11/09/2016;15.23;15.11
11/10/2016;14.84;13.8
11/11/2016;13.65;13.87
11/12/2016;0;0
11/14/2016;13.67;14.5
11/15/2016;0;0
11/16/2016;14.36;14.76
11/17/2016;14.85;14.23
11/18/2016;14.07;13.85
11/21/2016;13.93;14.4
11/22/2016;14.6;15.2
11/23/2016;15.3;14.72
11/24/2016;14.72;14.46
11/25/2016;14.15;14.07
11/28/2016;13.98;14.8
11/29/2016;14.74;13.95
11/30/2016;14.25;14.45
12/01/2016;13.97;14
12/02/2016;13.66;14
12/05/2016;14.05;13.81
12/06/2016;13.7;14.23
12/07/2016;14.49;14.05
12/08/2016;14.15;13.66
12/09/2016;13.72;13.04
12/10/2016;0;0
12/12/2016;12.9;12.4
12/13/2016;12.38;13.1
12/14/2016;13;12.2
12/15/2016;12.25;12.2
12/16/2016;12.31;12.12
12/19/2016;12.12;12.22
12/20/2016;12.4;12.28
12/21/2016;12.29;12.35
12/22/2016;12.3;12.9
12/23/2016;12.9;13.03
12/24/2016;0;0
12/26/2016;13.03;13.23
12/27/2016;13.27;13.15
12/28/2016;13.14;13.27
12/29/2016;13.3;13.33
01/02/2017;13.2;13.3
01/03/2017;13.33;13.96
01/04/2017;13.79;13.88
01/05/2017;13.83;13.7
01/06/2017;13.7;13.6
01/09/2017;13.65;13.51
01/10/2017;13.6;13.39
01/11/2017;13.43;13.18
01/12/2017;13.39;13.73
01/13/2017;13.94;14.03
01/16/2017;14.04;14.1
01/17/2017;14.13;14.67
01/18/2017;14.57;14.29
01/19/2017;14.27;14.05
01/20/2017;14.07;14.18
01/23/2017;13.85;13.55
01/24/2017;13.58;13.93
01/25/2017;0;0
01/26/2017;14.02;14
01/27/2017;14;14.29
01/28/2017;0;0
01/30/2017;14.15;13.9
01/31/2017;13.86;13.51
02/01/2017;13.7;13.37
02/02/2017;13.37;13.75
02/03/2017;13.62;13.37
02/04/2017;0;0
02/06/2017;13.4;13.09
02/07/2017;12.94;12.89
02/08/2017;13;12.55
02/09/2017;12.63;12.9
02/10/2017;12.81;13.08
02/13/2017;13.08;13.1
02/14/2017;13.2;13.36
02/15/2017;13.4;13.6
02/16/2017;13.48;13.55
02/17/2017;13.58;14.04
02/18/2017;0;0
02/20/2017;14.05;14.04
